timestamp,algorithm,order,size,case,duration
2025-11-12 19:09:37,Bubble,Desc,0,sorted,7e-06
2025-11-12 19:09:37,Selection,Desc,0,sorted,5e-06
2025-11-12 19:09:37,Quick,Desc,0,sorted,8e-06
2025-11-12 19:09:37,Merge,Desc,0,sorted,6e-06
2025-11-12 19:09:37,Shell,Desc,0,sorted,5e-06
2025-11-12 19:09:37,Bubble,Asc,1,sorted,7e-06
2025-11-12 19:09:37,Selection,Asc,1,sorted,7e-06
2025-11-12 19:09:37,Quick,Asc,1,sorted,8e-06
2025-11-12 19:09:37,Merge,Asc,1,sorted,7e-06
2025-11-12 19:09:37,Shell,Asc,1,sorted,9e-06
2025-11-12 19:09:37,Bubble,Desc,1,sorted,6e-06
2025-11-12 19:09:37,Selection,Desc,1,sorted,7e-06
2025-11-12 19:09:37,Quick,Desc,1,sorted,7e-06
2025-11-12 19:09:37,Merge,Desc,1,sorted,8e-06
2025-11-12 19:09:37,Shell,Desc,1,sorted,6e-06
2025-11-12 19:09:37,Bubble,Asc,10,sorted,1.2e-05
2025-11-12 19:09:37,Selection,Asc,10,sorted,1.4e-05
2025-11-12 19:09:37,Quick,Asc,10,sorted,2.3e-05
2025-11-12 19:09:37,Merge,Asc,10,sorted,2.3e-05
2025-11-12 19:09:37,Shell,Asc,10,sorted,1.3e-05
2025-11-12 19:09:37,Bubble,Desc,10,sorted,1.9e-05
2025-11-12 19:09:37,Selection,Desc,10,sorted,1.4e-05
2025-11-12 19:09:37,Quick,Desc,10,sorted,2.5e-05
2025-11-12 19:09:37,Merge,Desc,10,sorted,2.4e-05
2025-11-12 19:09:37,Shell,Desc,10,sorted,1.3e-05
2025-11-12 19:09:37,Bubble,Asc,100,sorted,0.000395
2025-11-12 19:09:37,Selection,Asc,100,sorted,0.000318
2025-11-12 19:09:37,Quick,Asc,100,sorted,0.000145
2025-11-12 19:09:37,Merge,Asc,100,sorted,0.000181
2025-11-12 19:09:37,Shell,Asc,100,sorted,7.4e-05
2025-11-12 19:09:37,Bubble,Desc,100,sorted,0.000819
2025-11-12 19:09:37,Selection,Desc,100,sorted,0.000344
2025-11-12 19:09:37,Quick,Desc,100,sorted,0.00015
2025-11-12 19:09:37,Merge,Desc,100,sorted,0.000177
2025-11-12 19:09:37,Shell,Desc,100,sorted,0.000101
2025-11-12 19:09:37,Bubble,Asc,1000,sorted,0.041265
2025-11-12 19:09:37,Selection,Asc,1000,sorted,0.033517
2025-11-12 19:09:37,Quick,Asc,1000,sorted,0.001492
2025-11-12 19:09:37,Merge,Asc,1000,sorted,0.001414
2025-11-12 19:09:37,Shell,Asc,1000,sorted,0.000927
2025-11-12 19:09:37,Bubble,Desc,1000,sorted,0.084285
2025-11-12 19:09:37,Selection,Desc,1000,sorted,0.033314
2025-11-12 19:09:37,Quick,Desc,1000,sorted,0.001105
2025-11-12 19:09:38,Merge,Desc,1000,sorted,0.002069
2025-11-12 19:09:38,Shell,Desc,1000,sorted,0.001635
