2025-11-12 19:09:38 - Bubble     | Asc  | size=     0 | case=reversed       | duration=0.000005s
2025-11-12 19:09:38 - Selection  | Asc  | size=     0 | case=reversed       | duration=0.000006s
2025-11-12 19:09:38 - Quick      | Asc  | size=     0 | case=reversed       | duration=0.000006s
2025-11-12 19:09:38 - Merge      | Asc  | size=     0 | case=reversed       | duration=0.000005s
2025-11-12 19:09:38 - Shell      | Asc  | size=     0 | case=reversed       | duration=0.000007s
2025-11-12 19:09:38 - Bubble     | Desc | size=     0 | case=reversed       | duration=0.000006s
2025-11-12 19:09:38 - Selection  | Desc | size=     0 | case=reversed       | duration=0.000007s
2025-11-12 19:09:38 - Quick      | Desc | size=     0 | case=reversed       | duration=0.000008s
2025-11-12 19:09:38 - Merge      | Desc | size=     0 | case=reversed       | duration=0.000009s
2025-11-12 19:09:38 - Shell      | Desc | size=     0 | case=reversed       | duration=0.000006s
2025-11-12 19:09:38 - Bubble     | Asc  | size=     1 | case=reversed       | duration=0.000008s
2025-11-12 19:09:38 - Selection  | Asc  | size=     1 | case=reversed       | duration=0.000009s
2025-11-12 19:09:38 - Quick      | Asc  | size=     1 | case=reversed       | duration=0.000009s
2025-11-12 19:09:38 - Merge      | Asc  | size=     1 | case=reversed       | duration=0.000008s
2025-11-12 19:09:38 - Shell      | Asc  | size=     1 | case=reversed       | duration=0.000004s
2025-11-12 19:09:38 - Bubble     | Desc | size=     1 | case=reversed       | duration=0.000008s
2025-11-12 19:09:38 - Selection  | Desc | size=     1 | case=reversed       | duration=0.000007s
2025-11-12 19:09:38 - Quick      | Desc | size=     1 | case=reversed       | duration=0.000008s
2025-11-12 19:09:38 - Merge      | Desc | size=     1 | case=reversed       | duration=0.000008s
2025-11-12 19:09:38 - Shell      | Desc | size=     1 | case=reversed       | duration=0.000007s
2025-11-12 19:09:38 - Bubble     | Asc  | size=    10 | case=reversed       | duration=0.000018s
2025-11-12 19:09:38 - Selection  | Asc  | size=    10 | case=reversed       | duration=0.000011s
2025-11-12 19:09:38 - Quick      | Asc  | size=    10 | case=reversed       | duration=0.000019s
2025-11-12 19:09:38 - Merge      | Asc  | size=    10 | case=reversed       | duration=0.000026s
2025-11-12 19:09:38 - Shell      | Asc  | size=    10 | case=reversed       | duration=0.000016s
2025-11-12 19:09:38 - Bubble     | Desc | size=    10 | case=reversed       | duration=0.000014s
2025-11-12 19:09:38 - Selection  | Desc | size=    10 | case=reversed       | duration=0.000014s
2025-11-12 19:09:38 - Quick      | Desc | size=    10 | case=reversed       | duration=0.000026s
2025-11-12 19:09:38 - Merge      | Desc | size=    10 | case=reversed       | duration=0.000023s
2025-11-12 19:09:38 - Shell      | Desc | size=    10 | case=reversed       | duration=0.000011s
2025-11-12 19:09:38 - Bubble     | Asc  | size=   100 | case=reversed       | duration=0.000845s
2025-11-12 19:09:38 - Selection  | Asc  | size=   100 | case=reversed       | duration=0.000234s
2025-11-12 19:09:38 - Quick      | Asc  | size=   100 | case=reversed       | duration=0.000167s
2025-11-12 19:09:38 - Merge      | Asc  | size=   100 | case=reversed       | duration=0.000137s
2025-11-12 19:09:38 - Shell      | Asc  | size=   100 | case=reversed       | duration=0.000071s
2025-11-12 19:09:38 - Bubble     | Desc | size=   100 | case=reversed       | duration=0.000296s
2025-11-12 19:09:38 - Selection  | Desc | size=   100 | case=reversed       | duration=0.000242s
2025-11-12 19:09:38 - Quick      | Desc | size=   100 | case=reversed       | duration=0.000108s
2025-11-12 19:09:38 - Merge      | Desc | size=   100 | case=reversed       | duration=0.000130s
2025-11-12 19:09:38 - Shell      | Desc | size=   100 | case=reversed       | duration=0.000068s
2025-11-12 19:09:38 - Bubble     | Asc  | size=  1000 | case=reversed       | duration=0.087138s
2025-11-12 19:09:38 - Selection  | Asc  | size=  1000 | case=reversed       | duration=0.031072s
2025-11-12 19:09:38 - Quick      | Asc  | size=  1000 | case=reversed       | duration=0.001357s
2025-11-12 19:09:38 - Merge      | Asc  | size=  1000 | case=reversed       | duration=0.001427s
2025-11-12 19:09:38 - Shell      | Asc  | size=  1000 | case=reversed       | duration=0.001183s
2025-11-12 19:09:38 - Bubble     | Desc | size=  1000 | case=reversed       | duration=0.045147s
2025-11-12 19:09:38 - Selection  | Desc | size=  1000 | case=reversed       | duration=0.024622s
2025-11-12 19:09:38 - Quick      | Desc | size=  1000 | case=reversed       | duration=0.001626s
2025-11-12 19:09:38 - Merge      | Desc | size=  1000 | case=reversed       | duration=0.002094s
2025-11-12 19:09:38 - Shell      | Desc | size=  1000 | case=reversed       | duration=0.001213s
2025-11-12 19:09:38 - Bubble     | Asc  | size=     0 | case=almost_sorted  | duration=0.000009s
2025-11-12 19:09:38 - Selection  | Asc  | size=     0 | case=almost_sorted  | duration=0.000008s
2025-11-12 19:09:38 - Quick      | Asc  | size=     0 | case=almost_sorted  | duration=0.000008s
2025-11-12 19:09:38 - Merge      | Asc  | size=     0 | case=almost_sorted  | duration=0.000007s
2025-11-12 19:09:38 - Shell      | Asc  | size=     0 | case=almost_sorted  | duration=0.000007s
2025-11-12 19:09:38 - Bubble     | Desc | size=     0 | case=almost_sorted  | duration=0.000006s
2025-11-12 19:09:38 - Selection  | Desc | size=     0 | case=almost_sorted  | duration=0.000007s
2025-11-12 19:09:38 - Quick      | Desc | size=     0 | case=almost_sorted  | duration=0.000008s
2025-11-12 19:09:38 - Merge      | Desc | size=     0 | case=almost_sorted  | duration=0.000007s
2025-11-12 19:09:38 - Shell      | Desc | size=     0 | case=almost_sorted  | duration=0.000006s
2025-11-12 19:09:38 - Bubble     | Asc  | size=     1 | case=almost_sorted  | duration=0.000007s
2025-11-12 19:09:38 - Selection  | Asc  | size=     1 | case=almost_sorted  | duration=0.000009s
2025-11-12 19:09:38 - Quick      | Asc  | size=     1 | case=almost_sorted  | duration=0.000006s
2025-11-12 19:09:38 - Merge      | Asc  | size=     1 | case=almost_sorted  | duration=0.000007s
2025-11-12 19:09:38 - Shell      | Asc  | size=     1 | case=almost_sorted  | duration=0.000006s
2025-11-12 19:09:38 - Bubble     | Desc | size=     1 | case=almost_sorted  | duration=0.000007s
2025-11-12 19:09:38 - Selection  | Desc | size=     1 | case=almost_sorted  | duration=0.000009s
2025-11-12 19:09:38 - Quick      | Desc | size=     1 | case=almost_sorted  | duration=0.000007s
2025-11-12 19:09:38 - Merge      | Desc | size=     1 | case=almost_sorted  | duration=0.000013s
2025-11-12 19:09:38 - Shell      | Desc | size=     1 | case=almost_sorted  | duration=0.000005s
2025-11-12 19:09:38 - Bubble     | Asc  | size=    10 | case=almost_sorted  | duration=0.000014s
2025-11-12 19:09:38 - Selection  | Asc  | size=    10 | case=almost_sorted  | duration=0.000014s
2025-11-12 19:09:38 - Quick      | Asc  | size=    10 | case=almost_sorted  | duration=0.000034s
2025-11-12 19:09:38 - Merge      | Asc  | size=    10 | case=almost_sorted  | duration=0.000026s
2025-11-12 19:09:38 - Shell      | Asc  | size=    10 | case=almost_sorted  | duration=0.000011s
2025-11-12 19:09:38 - Bubble     | Desc | size=    10 | case=almost_sorted  | duration=0.000017s
2025-11-12 19:09:38 - Selection  | Desc | size=    10 | case=almost_sorted  | duration=0.000014s
2025-11-12 19:09:38 - Quick      | Desc | size=    10 | case=almost_sorted  | duration=0.000022s
2025-11-12 19:09:38 - Merge      | Desc | size=    10 | case=almost_sorted  | duration=0.000027s
2025-11-12 19:09:38 - Shell      | Desc | size=    10 | case=almost_sorted  | duration=0.000012s
2025-11-12 19:09:38 - Bubble     | Asc  | size=   100 | case=almost_sorted  | duration=0.000396s
2025-11-12 19:09:38 - Selection  | Asc  | size=   100 | case=almost_sorted  | duration=0.000303s
2025-11-12 19:09:38 - Quick      | Asc  | size=   100 | case=almost_sorted  | duration=0.000158s
2025-11-12 19:09:38 - Merge      | Asc  | size=   100 | case=almost_sorted  | duration=0.000173s
2025-11-12 19:09:38 - Shell      | Asc  | size=   100 | case=almost_sorted  | duration=0.000070s
2025-11-12 19:09:38 - Bubble     | Desc | size=   100 | case=almost_sorted  | duration=0.000782s
2025-11-12 19:09:38 - Selection  | Desc | size=   100 | case=almost_sorted  | duration=0.000342s
2025-11-12 19:09:38 - Quick      | Desc | size=   100 | case=almost_sorted  | duration=0.000161s
2025-11-12 19:09:38 - Merge      | Desc | size=   100 | case=almost_sorted  | duration=0.000189s
2025-11-12 19:09:38 - Shell      | Desc | size=   100 | case=almost_sorted  | duration=0.000096s
2025-11-12 19:09:38 - Bubble     | Asc  | size=  1000 | case=almost_sorted  | duration=0.038753s
2025-11-12 19:09:38 - Selection  | Asc  | size=  1000 | case=almost_sorted  | duration=0.033739s
2025-11-12 19:09:38 - Quick      | Asc  | size=  1000 | case=almost_sorted  | duration=0.001586s
2025-11-12 19:09:38 - Merge      | Asc  | size=  1000 | case=almost_sorted  | duration=0.001860s
2025-11-12 19:09:38 - Shell      | Asc  | size=  1000 | case=almost_sorted  | duration=0.001678s
2025-11-12 19:09:38 - Bubble     | Desc | size=  1000 | case=almost_sorted  | duration=0.084335s
2025-11-12 19:09:38 - Selection  | Desc | size=  1000 | case=almost_sorted  | duration=0.025775s
2025-11-12 19:09:38 - Quick      | Desc | size=  1000 | case=almost_sorted  | duration=0.001198s
2025-11-12 19:09:38 - Merge      | Desc | size=  1000 | case=almost_sorted  | duration=0.002086s
2025-11-12 19:09:38 - Shell      | Desc | size=  1000 | case=almost_sorted  | duration=0.001726s
2025-11-12 19:09:38 - Bubble     | Asc  | size=     0 | case=few_unique     | duration=0.000005s
2025-11-12 19:09:38 - Selection  | Asc  | size=     0 | case=few_unique     | duration=0.000005s
2025-11-12 19:09:38 - Quick      | Asc  | size=     0 | case=few_unique     | duration=0.000006s
2025-11-12 19:09:38 - Merge      | Asc  | size=     0 | case=few_unique     | duration=0.000006s
2025-11-12 19:09:38 - Shell      | Asc  | size=     0 | case=few_unique     | duration=0.000006s
2025-11-12 19:09:38 - Bubble     | Desc | size=     0 | case=few_unique     | duration=0.000007s
2025-11-12 19:09:38 - Selection  | Desc | size=     0 | case=few_unique     | duration=0.000004s
2025-11-12 19:09:38 - Quick      | Desc | size=     0 | case=few_unique     | duration=0.000006s
2025-11-12 19:09:38 - Merge      | Desc | size=     0 | case=few_unique     | duration=0.000005s
2025-11-12 19:09:38 - Shell      | Desc | size=     0 | case=few_unique     | duration=0.000007s
2025-11-12 19:09:38 - Bubble     | Asc  | size=     1 | case=few_unique     | duration=0.000007s
2025-11-12 19:09:38 - Selection  | Asc  | size=     1 | case=few_unique     | duration=0.000006s
2025-11-12 19:09:38 - Quick      | Asc  | size=     1 | case=few_unique     | duration=0.000007s
2025-11-12 19:09:38 - Merge      | Asc  | size=     1 | case=few_unique     | duration=0.000007s
2025-11-12 19:09:38 - Shell      | Asc  | size=     1 | case=few_unique     | duration=0.000007s
2025-11-12 19:09:38 - Bubble     | Desc | size=     1 | case=few_unique     | duration=0.000006s
2025-11-12 19:09:38 - Selection  | Desc | size=     1 | case=few_unique     | duration=0.000007s
2025-11-12 19:09:38 - Quick      | Desc | size=     1 | case=few_unique     | duration=0.000007s
2025-11-12 19:09:38 - Merge      | Desc | size=     1 | case=few_unique     | duration=0.000007s
2025-11-12 19:09:38 - Shell      | Desc | size=     1 | case=few_unique     | duration=0.000007s
