2025-11-12 02:08:25 - Quick      | Asc  | size=     1 | case=almost_sorted  | duration=0.000008s
2025-11-12 02:08:25 - Merge      | Asc  | size=     1 | case=almost_sorted  | duration=0.000009s
2025-11-12 02:08:25 - Bubble     | Desc | size=     1 | case=almost_sorted  | duration=0.000010s
2025-11-12 02:08:25 - Selection  | Desc | size=     1 | case=almost_sorted  | duration=0.000009s
2025-11-12 02:08:25 - Quick      | Desc | size=     1 | case=almost_sorted  | duration=0.000009s
2025-11-12 02:08:25 - Merge      | Desc | size=     1 | case=almost_sorted  | duration=0.000008s
2025-11-12 02:08:25 - Bubble     | Asc  | size=    10 | case=almost_sorted  | duration=0.000015s
2025-11-12 02:08:25 - Selection  | Asc  | size=    10 | case=almost_sorted  | duration=0.000016s
2025-11-12 02:08:25 - Quick      | Asc  | size=    10 | case=almost_sorted  | duration=0.000029s
2025-11-12 02:08:25 - Merge      | Asc  | size=    10 | case=almost_sorted  | duration=0.000018s
2025-11-12 02:08:25 - Bubble     | Desc | size=    10 | case=almost_sorted  | duration=0.000018s
2025-11-12 02:08:25 - Selection  | Desc | size=    10 | case=almost_sorted  | duration=0.000015s
2025-11-12 02:08:25 - Quick      | Desc | size=    10 | case=almost_sorted  | duration=0.000027s
2025-11-12 02:08:25 - Merge      | Desc | size=    10 | case=almost_sorted  | duration=0.000021s
2025-11-12 02:08:25 - Bubble     | Asc  | size=   100 | case=almost_sorted  | duration=0.000378s
2025-11-12 02:08:25 - Selection  | Asc  | size=   100 | case=almost_sorted  | duration=0.000323s
2025-11-12 02:08:25 - Quick      | Asc  | size=   100 | case=almost_sorted  | duration=0.000186s
2025-11-12 02:08:25 - Merge      | Asc  | size=   100 | case=almost_sorted  | duration=0.000155s
2025-11-12 02:08:25 - Bubble     | Desc | size=   100 | case=almost_sorted  | duration=0.000806s
2025-11-12 02:08:25 - Selection  | Desc | size=   100 | case=almost_sorted  | duration=0.000337s
2025-11-12 02:08:25 - Quick      | Desc | size=   100 | case=almost_sorted  | duration=0.000194s
2025-11-12 02:08:25 - Merge      | Desc | size=   100 | case=almost_sorted  | duration=0.000175s
2025-11-12 02:08:25 - Bubble     | Asc  | size=  1000 | case=almost_sorted  | duration=0.041751s
2025-11-12 02:08:25 - Selection  | Asc  | size=  1000 | case=almost_sorted  | duration=0.034028s
2025-11-12 02:08:25 - Quick      | Asc  | size=  1000 | case=almost_sorted  | duration=0.001753s
2025-11-12 02:08:25 - Merge      | Asc  | size=  1000 | case=almost_sorted  | duration=0.001922s
2025-11-12 02:08:25 - Bubble     | Desc | size=  1000 | case=almost_sorted  | duration=0.088363s
2025-11-12 02:08:25 - Selection  | Desc | size=  1000 | case=almost_sorted  | duration=0.036627s
2025-11-12 02:08:25 - Quick      | Desc | size=  1000 | case=almost_sorted  | duration=0.001384s
2025-11-12 02:08:25 - Merge      | Desc | size=  1000 | case=almost_sorted  | duration=0.002102s
2025-11-12 02:08:25 - Bubble     | Asc  | size=     0 | case=few_unique     | duration=0.000006s
2025-11-12 02:08:25 - Selection  | Asc  | size=     0 | case=few_unique     | duration=0.000006s
2025-11-12 02:08:25 - Quick      | Asc  | size=     0 | case=few_unique     | duration=0.000007s
2025-11-12 02:08:25 - Merge      | Asc  | size=     0 | case=few_unique     | duration=0.000008s
2025-11-12 02:08:25 - Bubble     | Desc | size=     0 | case=few_unique     | duration=0.000010s
2025-11-12 02:08:25 - Selection  | Desc | size=     0 | case=few_unique     | duration=0.000009s
2025-11-12 02:08:25 - Quick      | Desc | size=     0 | case=few_unique     | duration=0.000008s
2025-11-12 02:08:25 - Merge      | Desc | size=     0 | case=few_unique     | duration=0.000007s
2025-11-12 02:08:25 - Bubble     | Asc  | size=     1 | case=few_unique     | duration=0.000008s
2025-11-12 02:08:25 - Selection  | Asc  | size=     1 | case=few_unique     | duration=0.000009s
2025-11-12 02:08:25 - Quick      | Asc  | size=     1 | case=few_unique     | duration=0.000006s
2025-11-12 02:08:25 - Merge      | Asc  | size=     1 | case=few_unique     | duration=0.000008s
2025-11-12 02:08:25 - Bubble     | Desc | size=     1 | case=few_unique     | duration=0.000010s
2025-11-12 02:08:25 - Selection  | Desc | size=     1 | case=few_unique     | duration=0.000009s
2025-11-12 02:08:25 - Quick      | Desc | size=     1 | case=few_unique     | duration=0.000009s
2025-11-12 02:08:25 - Merge      | Desc | size=     1 | case=few_unique     | duration=0.000007s
2025-11-12 02:08:25 - Bubble     | Asc  | size=    10 | case=few_unique     | duration=0.000014s
2025-11-12 02:08:25 - Selection  | Asc  | size=    10 | case=few_unique     | duration=0.000015s
2025-11-12 02:08:25 - Quick      | Asc  | size=    10 | case=few_unique     | duration=0.000017s
2025-11-12 02:08:25 - Merge      | Asc  | size=    10 | case=few_unique     | duration=0.000036s
2025-11-12 02:08:25 - Bubble     | Desc | size=    10 | case=few_unique     | duration=0.000017s
2025-11-12 02:08:25 - Selection  | Desc | size=    10 | case=few_unique     | duration=0.000015s
2025-11-12 02:08:25 - Quick      | Desc | size=    10 | case=few_unique     | duration=0.000018s
2025-11-12 02:08:25 - Merge      | Desc | size=    10 | case=few_unique     | duration=0.000023s
2025-11-12 02:08:25 - Bubble     | Asc  | size=   100 | case=few_unique     | duration=0.000577s
2025-11-12 02:08:25 - Selection  | Asc  | size=   100 | case=few_unique     | duration=0.000261s
2025-11-12 02:08:25 - Quick      | Asc  | size=   100 | case=few_unique     | duration=0.000076s
2025-11-12 02:08:25 - Merge      | Asc  | size=   100 | case=few_unique     | duration=0.000207s
2025-11-12 02:08:25 - Bubble     | Desc | size=   100 | case=few_unique     | duration=0.000587s
2025-11-12 02:08:25 - Selection  | Desc | size=   100 | case=few_unique     | duration=0.000272s
2025-11-12 02:08:25 - Quick      | Desc | size=   100 | case=few_unique     | duration=0.000082s
2025-11-12 02:08:25 - Merge      | Desc | size=   100 | case=few_unique     | duration=0.000213s
2025-11-12 02:08:25 - Bubble     | Asc  | size=  1000 | case=few_unique     | duration=0.067212s
2025-11-12 02:08:25 - Selection  | Asc  | size=  1000 | case=few_unique     | duration=0.035462s
2025-11-12 02:08:25 - Quick      | Asc  | size=  1000 | case=few_unique     | duration=0.000524s
2025-11-12 02:08:25 - Merge      | Asc  | size=  1000 | case=few_unique     | duration=0.002344s
2025-11-12 02:08:25 - Bubble     | Desc | size=  1000 | case=few_unique     | duration=0.068235s
2025-11-12 02:08:25 - Selection  | Desc | size=  1000 | case=few_unique     | duration=0.035078s
2025-11-12 02:08:25 - Quick      | Desc | size=  1000 | case=few_unique     | duration=0.000599s
2025-11-12 02:08:25 - Merge      | Desc | size=  1000 | case=few_unique     | duration=0.002325s
2025-11-12 02:08:25 - Bubble     | Asc  | size=     0 | case=all_equal      | duration=0.000014s
2025-11-12 02:08:25 - Selection  | Asc  | size=     0 | case=all_equal      | duration=0.000016s
2025-11-12 02:08:25 - Quick      | Asc  | size=     0 | case=all_equal      | duration=0.000010s
2025-11-12 02:08:25 - Merge      | Asc  | size=     0 | case=all_equal      | duration=0.000019s
2025-11-12 02:08:25 - Bubble     | Desc | size=     0 | case=all_equal      | duration=0.000014s
2025-11-12 02:08:25 - Selection  | Desc | size=     0 | case=all_equal      | duration=0.000019s
2025-11-12 02:08:25 - Quick      | Desc | size=     0 | case=all_equal      | duration=0.000010s
2025-11-12 02:08:25 - Merge      | Desc | size=     0 | case=all_equal      | duration=0.000012s
2025-11-12 02:08:25 - Bubble     | Asc  | size=     1 | case=all_equal      | duration=0.000013s
2025-11-12 02:08:25 - Selection  | Asc  | size=     1 | case=all_equal      | duration=0.000011s
2025-11-12 02:08:25 - Quick      | Asc  | size=     1 | case=all_equal      | duration=0.000007s
2025-11-12 02:08:25 - Merge      | Asc  | size=     1 | case=all_equal      | duration=0.000006s
2025-11-12 02:08:25 - Bubble     | Desc | size=     1 | case=all_equal      | duration=0.000011s
2025-11-12 02:08:25 - Selection  | Desc | size=     1 | case=all_equal      | duration=0.000021s
2025-11-12 02:08:25 - Quick      | Desc | size=     1 | case=all_equal      | duration=0.000016s
2025-11-12 02:08:25 - Merge      | Desc | size=     1 | case=all_equal      | duration=0.000016s
2025-11-12 02:08:25 - Bubble     | Asc  | size=    10 | case=all_equal      | duration=0.000017s
2025-11-12 02:08:25 - Selection  | Asc  | size=    10 | case=all_equal      | duration=0.000016s
2025-11-12 02:08:25 - Quick      | Asc  | size=    10 | case=all_equal      | duration=0.000015s
2025-11-12 02:08:25 - Merge      | Asc  | size=    10 | case=all_equal      | duration=0.000026s
2025-11-12 02:08:25 - Bubble     | Desc | size=    10 | case=all_equal      | duration=0.000015s
2025-11-12 02:08:25 - Selection  | Desc | size=    10 | case=all_equal      | duration=0.000024s
2025-11-12 02:08:25 - Quick      | Desc | size=    10 | case=all_equal      | duration=0.000014s
2025-11-12 02:08:25 - Merge      | Desc | size=    10 | case=all_equal      | duration=0.000023s
2025-11-12 02:08:25 - Bubble     | Asc  | size=   100 | case=all_equal      | duration=0.000394s
2025-11-12 02:08:25 - Selection  | Asc  | size=   100 | case=all_equal      | duration=0.000317s
2025-11-12 02:08:25 - Quick      | Asc  | size=   100 | case=all_equal      | duration=0.000035s
2025-11-12 02:08:25 - Merge      | Asc  | size=   100 | case=all_equal      | duration=0.000149s
2025-11-12 02:08:25 - Bubble     | Desc | size=   100 | case=all_equal      | duration=0.000405s
2025-11-12 02:08:25 - Selection  | Desc | size=   100 | case=all_equal      | duration=0.000324s
2025-11-12 02:08:25 - Quick      | Desc | size=   100 | case=all_equal      | duration=0.000050s
2025-11-12 02:08:25 - Merge      | Desc | size=   100 | case=all_equal      | duration=0.000167s
2025-11-12 02:08:25 - Bubble     | Asc  | size=  1000 | case=all_equal      | duration=0.045272s
2025-11-12 02:08:25 - Selection  | Asc  | size=  1000 | case=all_equal      | duration=0.026986s
2025-11-12 02:08:25 - Quick      | Asc  | size=  1000 | case=all_equal      | duration=0.000188s
2025-11-12 02:08:26 - Merge      | Asc  | size=  1000 | case=all_equal      | duration=0.001640s
2025-11-12 02:08:26 - Bubble     | Desc | size=  1000 | case=all_equal      | duration=0.045469s
2025-11-12 02:08:26 - Selection  | Desc | size=  1000 | case=all_equal      | duration=0.030104s
